domain,a,b,why,marker,share_a,share_b,diff_pp,lo_pp,hi_pp,sig
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,疑问句,0.0992,0.0824,-1.68,-2.48,-0.88,True
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,祈使/委托,0.0093,0.0091,-0.02,-0.29,0.25,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,第一人称,0.0165,0.0163,-0.02,-0.38,0.33,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,称呼对方,0.0102,0.0092,-0.1,-0.38,0.17,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,家庭成员,0.0177,0.017,-0.07,-0.44,0.29,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,身份/人生阶段,0.0359,0.0329,-0.3,-0.81,0.2,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,情绪词,0.0032,0.0036,0.04,-0.13,0.21,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,是非核实,0.0006,0.0009,0.03,-0.05,0.12,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,方法/怎么办,0.0254,0.0188,-0.66,-1.07,-0.25,True
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,选择清单,0.0062,0.0069,0.07,-0.16,0.3,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,定义,0.0465,0.0395,-0.69,-1.26,-0.13,True
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,时效词,0.012,0.0134,0.14,-0.17,0.45,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,输出约束,0.0275,0.0214,-0.61,-1.04,-0.18,True
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,导航词,0.0229,0.0244,0.15,-0.27,0.57,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,资源词,0.2648,0.3217,5.68,4.42,6.94,True
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,回指上文,0.0006,0.0001,-0.05,-0.12,0.01,False
书籍文档,2025search,2026search,时间（搜索内部，2025→2026）,多问句(一行≥2问),0.0,0.0002,0.02,-0.02,0.07,False
书籍文档,2026search,assistant_top,界面（同为头部流量）,疑问句,0.0824,0.14,5.76,3.51,8.31,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,祈使/委托,0.0091,0.0871,7.8,6.07,9.89,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,第一人称,0.0163,0.0812,6.49,4.81,8.53,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,称呼对方,0.0092,0.0153,0.61,-0.06,1.69,False
书籍文档,2026search,assistant_top,界面（同为头部流量）,家庭成员,0.017,0.0282,1.12,0.16,2.49,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,身份/人生阶段,0.0329,0.0576,2.47,1.05,4.28,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,情绪词,0.0036,0.0035,-0.01,-0.28,0.68,False
书籍文档,2026search,assistant_top,界面（同为头部流量）,是非核实,0.0009,0.0588,5.79,4.4,7.58,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,方法/怎么办,0.0188,0.02,0.12,-0.68,1.32,False
书籍文档,2026search,assistant_top,界面（同为头部流量）,选择清单,0.0069,0.0059,-0.1,-0.49,0.69,False
书籍文档,2026search,assistant_top,界面（同为头部流量）,定义,0.0395,0.0129,-2.66,-3.35,-1.59,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,时效词,0.0134,0.0035,-0.99,-1.33,-0.28,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,输出约束,0.0214,0.0906,6.92,5.14,9.05,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,导航词,0.0244,0.0,-2.44,-2.76,-1.91,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,资源词,0.3217,0.0588,-26.28,-27.95,-24.28,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,回指上文,0.0001,0.0165,1.64,0.97,2.74,True
书籍文档,2026search,assistant_top,界面（同为头部流量）,多问句(一行≥2问),0.0002,0.0,-0.02,-0.07,0.43,False
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,疑问句,0.14,0.2361,9.61,6.02,13.15,True
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,祈使/委托,0.0871,0.1039,1.68,-1.06,4.39,False
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,第一人称,0.0812,0.3914,31.02,27.36,34.57,True
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,称呼对方,0.0153,0.17,15.47,12.98,18.06,True
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,家庭成员,0.0282,0.0483,2.0,0.21,3.81,True
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,身份/人生阶段,0.0576,0.0493,-0.83,-2.98,1.25,False
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,情绪词,0.0035,0.0105,0.7,-0.13,1.6,False
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,是非核实,0.0588,0.0766,1.78,-0.57,4.1,False
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,方法/怎么办,0.02,0.0262,0.62,-0.82,2.05,False
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,选择清单,0.0059,0.021,1.51,0.44,2.68,True
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,定义,0.0129,0.0094,-0.35,-1.45,0.67,False
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,时效词,0.0035,0.042,3.84,2.55,5.33,True
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,输出约束,0.0906,0.0588,-3.18,-5.68,-0.76,True
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,导航词,0.0,0.0052,0.52,-0.02,1.22,False
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,资源词,0.0588,0.0693,1.04,-1.26,3.31,False
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,回指上文,0.0165,0.0367,2.03,0.53,3.57,True
书籍文档,assistant_top,assistant_random,深度（助手头部→长尾）,多问句(一行≥2问),0.0,0.0199,1.99,1.15,3.09,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,疑问句,0.0824,0.2361,15.37,12.72,18.21,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,祈使/委托,0.0091,0.1039,9.48,7.69,11.58,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,第一人称,0.0163,0.3914,37.51,34.45,40.65,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,称呼对方,0.0092,0.17,16.08,13.82,18.6,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,家庭成员,0.017,0.0483,3.13,1.91,4.7,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,身份/人生阶段,0.0329,0.0493,1.64,0.38,3.24,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,情绪词,0.0036,0.0105,0.69,0.19,1.57,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,是非核实,0.0009,0.0766,7.57,6.04,9.43,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,方法/怎么办,0.0188,0.0262,0.74,-0.14,1.99,False
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,选择清单,0.0069,0.021,1.41,0.65,2.54,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,定义,0.0395,0.0094,-3.01,-3.61,-2.09,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,时效词,0.0134,0.042,2.86,1.73,4.34,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,输出约束,0.0214,0.0588,3.74,2.38,5.43,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,导航词,0.0244,0.0052,-1.92,-2.36,-1.16,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,资源词,0.3217,0.0693,-25.24,-26.95,-23.23,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,回指上文,0.0001,0.0367,3.66,2.64,5.05,True
书籍文档,2026search,assistant_random,界面+深度（不可单独归因）,多问句(一行≥2问),0.0002,0.0199,1.97,1.26,3.07,True
软件,2025search,2026search,时间（搜索内部，2025→2026）,疑问句,0.2532,0.2083,-4.49,-5.65,-3.32,True
软件,2025search,2026search,时间（搜索内部，2025→2026）,祈使/委托,0.0026,0.0028,0.02,-0.13,0.17,False
软件,2025search,2026search,时间（搜索内部，2025→2026）,第一人称,0.0061,0.005,-0.11,-0.32,0.1,False
软件,2025search,2026search,时间（搜索内部，2025→2026）,称呼对方,0.0041,0.0027,-0.14,-0.31,0.02,False
软件,2025search,2026search,时间（搜索内部，2025→2026）,家庭成员,0.0056,0.003,-0.26,-0.45,-0.08,True
软件,2025search,2026search,时间（搜索内部，2025→2026）,身份/人生阶段,0.0051,0.0052,0.01,-0.19,0.21,False
软件,2025search,2026search,时间（搜索内部，2025→2026）,情绪词,0.0005,0.0007,0.02,-0.06,0.1,False
软件,2025search,2026search,时间（搜索内部，2025→2026）,是非核实,0.0147,0.0078,-0.69,-0.99,-0.4,True
软件,2025search,2026search,时间（搜索内部，2025→2026）,方法/怎么办,0.053,0.0359,-1.71,-2.28,-1.14,True
软件,2025search,2026search,时间（搜索内部，2025→2026）,选择清单,0.0149,0.0161,0.12,-0.22,0.46,False
软件,2025search,2026search,时间（搜索内部，2025→2026）,定义,0.0154,0.0134,-0.2,-0.53,0.13,False
软件,2025search,2026search,时间（搜索内部，2025→2026）,时效词,0.022,0.0168,-0.52,-0.91,-0.14,True
软件,2025search,2026search,时间（搜索内部，2025→2026）,输出约束,0.0118,0.0064,-0.54,-0.81,-0.28,True
软件,2025search,2026search,时间（搜索内部，2025→2026）,导航词,0.2531,0.2843,3.13,1.9,4.35,True
软件,2025search,2026search,时间（搜索内部，2025→2026）,资源词,0.0176,0.0155,-0.21,-0.57,0.14,False
软件,2025search,2026search,时间（搜索内部，2025→2026）,回指上文,0.0002,0.0004,0.02,-0.04,0.08,False
软件,2025search,2026search,时间（搜索内部，2025→2026）,多问句(一行≥2问),0.0004,0.0003,-0.01,-0.08,0.05,False
软件,2026search,assistant_top,界面（同为头部流量）,疑问句,0.2083,0.117,-9.13,-11.19,-6.78,True
软件,2026search,assistant_top,界面（同为头部流量）,祈使/委托,0.0028,0.0777,7.49,5.94,9.38,True
软件,2026search,assistant_top,界面（同为头部流量）,第一人称,0.005,0.0532,4.82,3.55,6.45,True
软件,2026search,assistant_top,界面（同为头部流量）,称呼对方,0.0027,0.0106,0.79,0.29,1.68,True
软件,2026search,assistant_top,界面（同为头部流量）,家庭成员,0.003,0.0074,0.44,0.04,1.23,True
软件,2026search,assistant_top,界面（同为头部流量）,身份/人生阶段,0.0052,0.0064,0.12,-0.26,0.88,False
软件,2026search,assistant_top,界面（同为头部流量）,情绪词,0.0007,0.0021,0.14,-0.03,0.7,False
软件,2026search,assistant_top,界面（同为头部流量）,是非核实,0.0078,0.0266,1.88,1.01,3.13,True
软件,2026search,assistant_top,界面（同为头部流量）,方法/怎么办,0.0359,0.016,-1.99,-2.73,-0.92,True
软件,2026search,assistant_top,界面（同为头部流量）,选择清单,0.0161,0.0149,-0.12,-0.78,0.9,False
软件,2026search,assistant_top,界面（同为头部流量）,定义,0.0134,0.0096,-0.38,-0.9,0.49,False
软件,2026search,assistant_top,界面（同为头部流量）,时效词,0.0168,0.0021,-1.47,-1.78,-0.86,True
软件,2026search,assistant_top,界面（同为头部流量）,输出约束,0.0064,0.0234,1.7,0.89,2.89,True
软件,2026search,assistant_top,界面（同为头部流量）,导航词,0.2843,0.0447,-23.96,-25.42,-22.21,True
软件,2026search,assistant_top,界面（同为头部流量）,资源词,0.0155,0.1181,10.26,8.33,12.49,True
软件,2026search,assistant_top,界面（同为头部流量）,回指上文,0.0004,0.017,1.66,1.01,2.71,True
软件,2026search,assistant_top,界面（同为头部流量）,多问句(一行≥2问),0.0003,0.0,-0.03,-0.09,0.38,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,疑问句,0.117,0.4563,33.93,30.13,37.58,True
软件,assistant_top,assistant_random,深度（助手头部→长尾）,祈使/委托,0.0777,0.0559,-2.18,-4.45,0.06,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,第一人称,0.0532,0.128,7.49,4.95,10.05,True
软件,assistant_top,assistant_random,深度（助手头部→长尾）,称呼对方,0.0106,0.0386,2.8,1.44,4.27,True
软件,assistant_top,assistant_random,深度（助手头部→长尾）,家庭成员,0.0074,0.0102,0.27,-0.64,1.2,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,身份/人生阶段,0.0064,0.0102,0.38,-0.5,1.29,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,情绪词,0.0021,0.0,-0.21,-0.77,0.21,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,是非核实,0.0266,0.1087,8.21,6.03,10.48,True
软件,assistant_top,assistant_random,深度（助手头部→长尾）,方法/怎么办,0.016,0.1311,11.51,9.3,13.85,True
软件,assistant_top,assistant_random,深度（助手头部→长尾）,选择清单,0.0149,0.06,4.51,2.85,6.27,True
软件,assistant_top,assistant_random,深度（助手头部→长尾）,定义,0.0096,0.0071,-0.25,-1.17,0.63,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,时效词,0.0021,0.0152,1.31,0.49,2.3,True
软件,assistant_top,assistant_random,深度（助手头部→长尾）,输出约束,0.0234,0.0407,1.72,0.14,3.35,True
软件,assistant_top,assistant_random,深度（助手头部→长尾）,导航词,0.0447,0.0569,1.22,-0.76,3.21,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,资源词,0.1181,0.0986,-1.95,-4.75,0.83,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,回指上文,0.017,0.0285,1.14,-0.22,2.54,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,多问句(一行≥2问),0.0,0.0122,1.22,0.56,2.12,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,疑问句,0.2083,0.4563,24.8,21.61,28.02,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,祈使/委托,0.0028,0.0559,5.31,4.03,6.93,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,第一人称,0.005,0.128,12.3,10.35,14.54,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,称呼对方,0.0027,0.0386,3.59,2.55,4.99,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,家庭成员,0.003,0.0102,0.72,0.24,1.57,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,身份/人生阶段,0.0052,0.0102,0.5,0.01,1.35,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,情绪词,0.0007,0.0,-0.07,-0.14,0.32,False
软件,2026search,assistant_random,界面+深度（不可单独归因）,是非核实,0.0078,0.1087,10.09,8.29,12.2,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,方法/怎么办,0.0359,0.1311,9.52,7.52,11.8,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,选择清单,0.0161,0.06,4.39,3.04,6.06,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,定义,0.0134,0.0071,-0.63,-1.07,0.15,False
软件,2026search,assistant_random,界面+深度（不可单独归因）,时效词,0.0168,0.0152,-0.16,-0.81,0.85,False
软件,2026search,assistant_random,界面+深度（不可单独归因）,输出约束,0.0064,0.0407,3.42,2.34,4.85,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,导航词,0.2843,0.0569,-22.74,-24.3,-20.89,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,资源词,0.0155,0.0986,8.31,6.58,10.34,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,回指上文,0.0004,0.0285,2.81,1.93,4.04,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,多问句(一行≥2问),0.0003,0.0122,1.19,0.67,2.09,True
